"Longitude","Latitude","Day_of_Week"
-0.113351,51.521323,"Wed"
-0.207213,51.550133,"Sun"
-0.129698,51.516369,"Thu"
-0.181579,51.549108,"Fri"
-0.130415,51.51647,"Sun"
-0.192305,51.536864,"Sat"
-0.134728,51.530837,"Tue"
-0.134735,51.544776,"Sat"
-0.193586,51.555499,"Wed"
-0.121237,51.518841,"Wed"
-0.133035,51.526404,"Wed"
-0.173362,51.541787,"Fri"
-0.135735,51.523839,"Wed"
-0.162333,51.543503,"Wed"
-0.144279,51.540611,"Thu"
-0.116383,51.524699,"Wed"
-0.207293,51.551752,"Sun"
-0.130829,51.516926,"Sat"
-0.16629,51.541946,"Sat"
-0.133322,51.519394,"Thu"
-0.127544,51.547809,"Sat"
-0.141282,51.539844,"Tue"
-0.127588,51.543223,"Tue"
-0.119756,51.5163,"Fri"
-0.142419,51.536715,"Fri"
-0.136127,51.538953,"Sun"
-0.123756,51.517173,"Mon"
-0.133693,51.545569,"Sat"
-0.127006,51.522261,"Fri"
-0.14207,51.541745,"Tue"
-0.130424,51.526812,"Fri"
-0.171186,51.542113,"Sun"
-0.175997,51.55163,"Wed"
-0.159926,51.542386,"Sat"
-0.182271,51.549839,"Tue"
-0.138265,51.532512,"Sat"
-0.128679,51.516622,"Fri"
-0.16311,51.54927,"Sun"
-0.111612,51.518057,"Fri"
-0.144477,51.528654,"Thu"
-0.13664,51.522864,"Fri"
-0.109579,51.521891,"Fri"
-0.154945,51.537182,"Sat"
-0.165225,51.55407,"Tue"
-0.127627,51.517685,"Wed"
-0.165481,51.554883,"Mon"
-0.142767,51.538788,"Wed"
-0.127914,51.514182,"Thu"
-0.122629,51.530554,"Wed"
-0.11655,51.520655,"Wed"
-0.123183,51.520581,"Sat"
-0.135778,51.519253,"Tue"
-0.19443,51.556051,"Sat"
-0.128062,51.514094,"Tue"
-0.121385,51.518754,"Wed"
-0.13376,51.526325,"Thu"
-0.119603,51.530506,"Fri"
-0.19115,51.547818,"Tue"
-0.151103,51.550161,"Fri"
-0.126153,51.528992,"Tue"
-0.133619,51.526233,"Tue"
-0.143278,51.558131,"Wed"
-0.182412,51.549931,"Sun"
-0.124447,51.521411,"Sun"
-0.175391,51.541549,"Mon"
-0.14732,51.533195,"Thu"
-0.130424,51.526812,"Sat"
-0.136221,51.54372,"Wed"
-0.134838,51.54226,"Fri"
-0.177121,51.545172,"Tue"
-0.127469,51.528563,"Mon"
-0.184308,51.553018,"Fri"
-0.128361,51.513829,"Thu"
-0.141392,51.547759,"Sun"
-0.11706,51.518774,"Wed"
-0.139432,51.532171,"Wed"
-0.114802,51.521076,"Wed"
-0.134892,51.537404,"Thu"
-0.141646,51.545065,"Thu"
-0.144725,51.554467,"Fri"
-0.195513,51.539612,"Thu"
-0.115825,51.52424,"Sun"
-0.140886,51.54955,"Sat"
-0.124517,51.516196,"Tue"
-0.140883,51.54964,"Sat"
-0.116665,51.517869,"Tue"
-0.132074,51.542845,"Sat"
-0.129094,51.524093,"Thu"
-0.126921,51.520821,"Sat"
-0.132444,51.526754,"Mon"
-0.168256,51.557624,"Tue"
-0.147665,51.542463,"Fri"
-0.145684,51.541532,"Wed"
-0.138718,51.528473,"Thu"
-0.143515,51.523962,"Fri"
-0.192173,51.554758,"Fri"
-0.184769,51.537827,"Sun"
-0.153934,51.54436,"Thu"
-0.123966,51.519065,"Tue"
-0.191044,51.554111,"Wed"
-0.138155,51.524597,"Fri"
-0.125573,51.525565,"Thu"
-0.178704,51.552481,"Tue"
-0.130109,51.520422,"Fri"
-0.167193,51.548165,"Thu"
-0.166339,51.555076,"Fri"
-0.106858,51.517981,"Thu"
-0.141558,51.547222,"Mon"
-0.200679,51.543918,"Tue"
-0.122877,51.524533,"Wed"
-0.114806,51.520986,"Thu"
-0.118588,51.527162,"Tue"
-0.195928,51.540068,"Thu"
-0.141768,51.545607,"Thu"
-0.150989,51.545843,"Sun"
-0.195832,51.542494,"Thu"
-0.192723,51.551799,"Mon"
-0.130982,51.52727,"Tue"
-0.126999,51.522441,"Tue"
-0.122205,51.519846,"Wed"
-0.191534,51.545396,"Wed"
-0.151858,51.545766,"Tue"
-0.145247,51.5239,"Sat"
-0.147955,51.545975,"Mon"
-0.193,51.552073,"Mon"
-0.165532,51.550028,"Thu"
-0.161643,51.553474,"Wed"
-0.138096,51.550764,"Sat"
-0.121089,51.518929,"Thu"
-0.084966,51.541636,"Tue"
-0.086541,51.53159,"Sat"
-0.11881,51.549737,"Fri"
-0.118158,51.55854,"Sat"
-0.13034,51.56404,"Mon"
-0.107059,51.533991,"Thu"
-0.110886,51.54952,"Wed"
-0.130975,51.559104,"Wed"
